,item_name,url
0,Men's Pajamas up to 50% Off,https://www.walmart.com/col/Men-apos-s-Pajamas-up-to-50-Off/287819849
1,Men's Coats & Jackets up to 50% Off,https://www.walmart.com/col/Men-apos-s-Coats-amp-Jackets-up-to-50-Off/559250751
2,Alpine Swiss Mens Down Alternative Vest Jacket Lightweight Packable Puffer Vest,https://www.walmart.com/ip/Alpine-Swiss-Mens-Down-Alternative-Vest-Jacket-Lightweight-Packable-Puffer-Vest/620797780?wpa_bd=&wpa_pg_seller_id=6ED6480FF7CB494FB83366D7D826D993&wpa_ref_id=wpaqs:q46hipF2MKvsDZjSmY7evNKj-5cnv2eWEOm968EJqcBleUjmOKKe22Kmi0xzkprRXAiQF-PzsLhl6wVkOo6gFLrTbG8mw-34tXSUFMWgo0B3bMcKKkQPTPuA6H3XuGaF3aFZCMVRxXNGYPCn89XFvcI2ItIwr7LyE4BEzfRklXSb6GRc_-0a61S1fSPY876glNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__
3,Men's Jeans up to 40% Off,https://www.walmart.com/col/Men-apos-s-Jeans-up-to-40-Off/973585306
4,Men's Shirts up to 30% Off,https://www.walmart.com/col/Men-apos-s-Shirts-up-to-30-Off/933481597
5,Men's Activewear up to 50% Off,https://www.walmart.com/col/Men-apos-s-Activewear-up-to-50-Off/727680972
6,Men's Graphic Tees up to 40% Off,https://www.walmart.com/col/Men-apos-s-Graphic-Tees-up-to-40-Off/976131518
7,Wrangler Men's Unlined Shirt Jacket,https://www.walmart.com/ip/Wrangler-Men-s-Unlined-Shirt-Jacket/698272979
8,Wrangler Men's Relaxed Fit Jeans,https://www.walmart.com/ip/Wrangler-Men-s-Relaxed-Fit-Jeans/2668256
9,Wrangler Big Men's Relaxed Fit Jean,https://www.walmart.com/ip/Wrangler-Big-Men-s-Relaxed-Fit-Jean/3395848
10,Wrangler Men's and Big Men's 5 Star Regular Fit Jean with Flex,https://www.walmart.com/ip/Wrangler-Men-s-5-Star-Regular-Fit-Jean-with-Flex/56027788
11,Wrangler Men's and Big Men's 5 Star Relaxed Fit Jean with Flex,https://www.walmart.com/ip/Wrangler-Men-s-and-Big-Men-s-5-Star-Relaxed-Fit-Jean-with-Flex/768283354
12,"AND1 Men's Pro Platinum Cushion Performance No Show Socks, 6-Pack",https://www.walmart.com/ip/AND1-Men-s-Pro-Platinum-Cushion-Performance-No-Show-Socks-6-Pack/784943384
13,"Champion Men's Powerblend Fleece Pullover Hoodie, up to Size 4XL",https://www.walmart.com/ip/Champion-Men-s-Powerblend-Fleece-Pullover-Hoodie/192926424
14,Fruit of the Loom Men's Core Waffle Thermal Top,https://www.walmart.com/ip/Fruit-of-the-Loom-Men-s-Core-Waffle-Thermal-Top/549544380
15,"Champion Men's Powerblend Graphic Crew Sweatshirt, up to Size 2XL",https://www.walmart.com/ip/Champion-Men-s-Powerblend-Graphic-Crew/766442842
16,Free Assembly Men's Two-Pocket Flannel Shirt,https://www.walmart.com/ip/Free-Assembly-Men-s-Two-Pocket-Flannel-Shirt/857515419
17,Lee Mens Big & Tall Regular Fit Jeans,https://www.walmart.com/ip/Lee-Men-s-Big-Tall-Regular-Fit-Jeans/971275474
18,Eddie Bauer Men's CirrusLite Down Jacket,https://www.walmart.com/ip/Eddie-Bauer-Men-s-CirrusLite-Down-Jacket/605461215
