,item_name,url
0,The Pioneer WomanSneak Peek Today! The Pioneer Woman Women's 3/4 Sleeve Blouson Top,https://www.walmart.com/ip/The-Pioneer-Woman-Women-s-3-4-Sleeve-Blouson-Top-Sneak-Peek-Today/722729582
1,Time and TruTime and Tru Women's Packable Puffer Jacket with Hood,https://www.walmart.com/ip/Time-and-Tru-Women-s-Packable-Puffer-Jacket-with-Hood/825507263
2,Lee RidersLee Riders Women's Waist Smoother Straight Leg Jean,https://www.walmart.com/ip/Lee-Riders-Women-s-Waist-Smoother-Straight-Leg-Jean/37425065?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:uOaAWYxt0_X2fxZ3w2yY0v0ZjxGZ-WrdlsTlDopDHYALplYgcLmFSq1q-5BqecwVgQSJ6odAn4kKNkJmVifRIFHDpy1n9xEgpcE6wo0bCHYgHldMEzthgaTFRK7WcdvR3aFZCMVRxXNGYPCn89XFvYQSmDkbynHk_BA4tQNg8LEmFsk_pL_M72O1cAFiUKYMlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=3&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1d3fee14-37b3-4316-a57d-c75eea7087fa&wpa_pg=browse&wpa_pg_id=5438_133162&wpa_st=Womens%2BClothing&wpa_tax=5438_133162&wpa_bucket=__bkt__
3,Woman WithinWoman Within Women's Plus Size Zip-Front Microfleece Jacket Fleece,https://www.walmart.com/ip/Woman-Within-Women-s-Plus-Size-Zip-Front-Microfleece-Jacket-Fleece/207861250?wpa_bd=&wpa_pg_seller_id=3352D180A65149CDA2AD7D6BCAF4DC64&wpa_ref_id=wpaqs:PRVPMmECL3mbS9crm-Dz_u2_4x1m39VnwDqkne_ekxlkyoQ4d_ZfGqxpO1ZNTlXSLVtNm3oaZtIGxSCM-WfmH0vXb7ddc7as38hNzAmVHo19KAr2o7j9hkJKpfsKQrn4itDTx4Hk3-mn9BV2fxygtzyyGE4IlMkxWePGignKlrysomzqMIMtrtLP0qB5DXeHzvutgEcxFvKSYet36H1sSQ&wpa_tag=&wpa_aux_info=&wpa_pos=4&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1d3fee14-37b3-4316-a57d-c75eea7087fa&wpa_pg=browse&wpa_pg_id=5438_133162&wpa_st=Womens%2BClothing&wpa_tax=5438_133162&wpa_bucket=__bkt__
4,DreamersDreamers by Debut Women's Leopard Print Cardigan,https://www.walmart.com/ip/Dreamers-by-Debut-Women-s-Leopard-Print-Cardigan/164919279
5,Time and TruTime and Tru Women's Crewneck Sweatshirt,https://www.walmart.com/ip/Time-and-Tru-Women-s-Crewneck-Sweatshirt/777380698
6,Athletic WorksAthletic Works Women's Athleisure Soft Jogger Sweatpants,https://www.walmart.com/ip/Athletic-Works-Women-s-Athleisure-Soft-Joggers-Sweatpants/838355958
7,Time and TruTime and Tru Women's Stretch Knit Jeggings,https://www.walmart.com/ip/Time-and-Tru-Women-s-Stretch-Knit-Jeggings/830992448
8,Time and TruTime and Tru Women's Plaid Button Front Shirt,https://www.walmart.com/ip/Time-and-Tru-Women-s-Plaid-Button-Front-Shirt/868212920
9,Free AssemblyFree Assembly Womens Turtleneck Sweater,https://www.walmart.com/ip/Free-Assembly-Women-s-Ultra-Soft-Turtleneck-Sweater/372189663
10,C. WonderC. Wonder Womens T- Shirt With Gold Buttons,https://www.walmart.com/ip/C-Wonder-Women-s-T-Shirt-With-Gold-Buttons/603188474
11,C. WonderC. Wonder Women's Long Sleeve Printed Midi Wrap Dress,https://www.walmart.com/ip/C-Wonder-Women-s-Long-Sleeve-Printed-Midi-Wrap-Dress/947819558?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:Qf9_I7Hk-XGIv1ry9j2ouUfdHcQZAXTcCnvRzutCo3pIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA6XpudYsjKYZOYSRCp4zXCkfYGp23VifY1Hif9Ry2suP3aFZCMVRxXNGYPCn89XFvYQSmDkbynHk_BA4tQNg8LEW5_4WfuvR2BX-FAkPG5kQlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=12&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1d3fee14-37b3-4316-a57d-c75eea7087fa&wpa_pg=browse&wpa_pg_id=5438_133162&wpa_st=Womens%2BClothing&wpa_tax=5438_133162&wpa_bucket=__bkt__
12,ScoopScoop Women's Cozy Funnel Neck Tunic Sweater,https://www.walmart.com/ip/Scoop-Women-s-Cozy-Funnel-Neck-Tunic-Sweater/353663113
13,"Time and TruTime and Tru Women's Thermal T-Shirt, 2 Pack Bundle",https://www.walmart.com/ip/Time-and-Tru-Women-s-Thermal-T-Shirt-2-Pack-Bundle/200427684
14,"Blissful Benefits by Warner'sBlissful Benefits by Warner's Women's Easy Size Underarm Smoothing Seamless Wire-Free Bra, Style RM3911W",https://www.walmart.com/ip/Blissful-Benefits-by-Warner-s-Women-s-Easy-Size-Underarm-Smoothing-Seamless-Wire-Free-Bra/146243433?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:c1vn0GiWFLNSa2GzXpDAzRFnMsbvGAf5njhRbqPq0VVIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUAyXOIe47LQWJKOwIspXS2w0rnC5WKk2YWs__s9nNOEYG3aFZCMVRxXNGYPCn89XFvYQSmDkbynHk_BA4tQNg8LEmFsk_pL_M72O1cAFiUKYMlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=15&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1d3fee14-37b3-4316-a57d-c75eea7087fa&wpa_pg=browse&wpa_pg_id=5438_133162&wpa_st=Womens%2BClothing&wpa_tax=5438_133162&wpa_bucket=__bkt__
15,Lee RidersLee Riders Women's Classic Fit Jean,https://www.walmart.com/ip/Lee-Riders-Women-s-Classic-Fit-Jean/37424917
16,Heart N CrushHeart N' Crush Women's Plus Size Long Sleeve V-Neck Dropped Shoulder Sweater with Metallic Detail,https://www.walmart.com/ip/Heart-N-Crush-Women-s-Plus-Size-Long-Sleeve-V-Neck-Dropped-Shoulder-Sweater-with-Metallic-Detail/199917877
17,A3 DenimA3 Denim Women's Plus Sized Destructed Skinny Jeans,https://www.walmart.com/ip/A3-Denim-Women-s-Plus-Sized-Destructed-Skinny-Jeans/55975150
18,Ma CroixMa Croix Womens Premium Soft Fleece Sweatpants Yoga Joggers with Ribbed Cuffs,https://www.walmart.com/ip/Ma-Croix-Womens-Premium-Soft-Fleece-Sweatpants-Yoga-Joggers-with-Ribbed-Cuffs/335835222
19,PajamaManiaPajamaMania Women's Cotton Flannel Long Sleeve Pajamas,https://www.walmart.com/ip/PajamaMania-Women-s-Cotton-Flannel-Long-Sleeve-Pajamas/815195256
20,The Cozy Corner ClubBlue Star Clothing Women's 3/4 Length Textured Plush Robe,https://www.walmart.com/ip/Blue-Star-Clothing-Women-s-3-4-Length-Textured-Plush-Robe/216749364
21,DreamersDreamers by Debut Women's Leopard Print Sweater,https://www.walmart.com/ip/Dreamers-by-Debut-Women-s-Leopard-Print-Sweater/988898535
22,Plain StudiosPlain Studios Women's Ramones Short Sleeve Graphic Tee,https://www.walmart.com/ip/Plain-Studios-Women-s-Ramones-Short-Sleeve-Graphic-Tee/497194387
23,C. WonderC. Wonder Womens Tie Sleeve Blouse,https://www.walmart.com/ip/C-Wonder-Women-s-Tie-Sleeve-Blouse/733307032
24,No BoundariesNo Boundaries Juniors Yoga Pants,https://www.walmart.com/ip/No-Boundaries-Juniors-Yoga-Pants/725300499
25,"Eye CandyEye Candy Juniors' Chevron Hoodie and Joggers Loungewear Set, 2-Piece",https://www.walmart.com/ip/Eye-Candy-Juniors-Chevron-Hoodie-and-Joggers-Loungewear-Set-2-Piece/779763664
26,Mark AlanMark Alan Women's Plus Size Single Breasted Faux Sherpa Coat,https://www.walmart.com/ip/Mark-Alan-Women-s-Plus-Size-Single-Breasted-Faux-Sherpa-Coat/424829855
27,C. WonderC. Wonder Women's Long Sleeve Self Tie Wrap Dress,https://www.walmart.com/ip/C-Wonder-Women-s-Long-Sleeve-Self-Tie-Wrap-Dress/909007992?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:Qf9_I7Hk-XGIv1ry9j2ouUfdHcQZAXTcCnvRzutCo3pIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUAzDX21aInC5ZWl3gJOY2MlBO83jxPkQjSL8UTGx8iUKb3aFZCMVRxXNGYPCn89XFvYQSmDkbynHk_BA4tQNg8LEmFsk_pL_M72O1cAFiUKYMlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=28&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1d3fee14-37b3-4316-a57d-c75eea7087fa&wpa_pg=browse&wpa_pg_id=5438_133162&wpa_st=Womens%2BClothing&wpa_tax=5438_133162&wpa_bucket=__bkt__
28,C. WonderC. Wonder Women's Color Block Cardigan,https://www.walmart.com/ip/C-Wonder-Women-s-Color-Block-Cardigan/681216623?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:Qf9_I7Hk-XGIv1ry9j2ouUfdHcQZAXTcCnvRzutCo3pIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA6vDi3LrkoIqHdS9RyzAX9DgP2kbGMzHwt9LKmzX-4J13aFZCMVRxXNGYPCn89XFvYQSmDkbynHk_BA4tQNg8LEmFsk_pL_M72O1cAFiUKYMlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=29&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1d3fee14-37b3-4316-a57d-c75eea7087fa&wpa_pg=browse&wpa_pg_id=5438_133162&wpa_st=Womens%2BClothing&wpa_tax=5438_133162&wpa_bucket=__bkt__
29,Terra & SkyTerra & Sky Women's Plus Size Destructed Denim Jegging,https://www.walmart.com/ip/Terra-Sky-Women-s-Plus-Size-Destructed-Denim-Jegging/443816274
30,ELOQUII ElementsELOQUII Elements Women's Plus Size Tie Waist Tunic Sweater,https://www.walmart.com/ip/ELOQUII-Elements-Women-s-Plus-Size-Tie-Waist-Tunic-Sweater/440839531
31,Free AssemblyFree Assembly Womens Super-Soft Mock Neck Sweater,https://www.walmart.com/ip/Free-Assembly-Women-s-Super-Soft-Mock-Neck-Sweater/148157099
32,"Secret TreasuresSecret Treasures Women's and Women's Plus Hacci Long Sleeve Top and Joggers, 2-Piece Pajama Set",https://www.walmart.com/ip/Secret-Treasures-Women-s-and-Women-s-Plus-Hacci-Long-Sleeve-Top-and-Joggers-2-Piece-Pajama-Set/100075169
33,C. WonderC. Wonder Women's Short Sleeve Fit & Flare Dress,https://www.walmart.com/ip/C-Wonder-Women-s-Short-Sleeve-Fit-Flare-Dress/771695460
34,Natural UniformsWOMENS LONG SLEEVE T SHIRT WITH SUPER-SOFT STRETCH FABRIC,https://www.walmart.com/ip/WOMENS-LONG-SLEEVE-T-SHIRT-WITH-SUPER-SOFT-STRETCH-FABRIC/957706945
35,Eddie BauerEddie Bauer Women's Luna Peak Down Parka,https://www.walmart.com/ip/Eddie-Bauer-Women-s-Luna-Peak-Down-Parka/160733785
36,No BoundariesNo Boundaries Juniors' Mom Jeans,https://www.walmart.com/ip/No-Boundaries-Juniors-Mom-Jeans/986905901
37,No BoundariesNo Boundaries Juniors' Plus Sherpa Pullover,https://www.walmart.com/ip/No-Boundaries-Juniors-Plus-Sherpa-Pullover/310418849
38,C. WonderC. Wonder Womens Sleeveless Wrap Top,https://www.walmart.com/ip/C-Wonder-Women-s-Sleeveless-Wrap-Top/475139878
39,Time and TruTime and Tru Women's Hacci Crewneck Pullover,https://www.walmart.com/ip/Time-and-Tru-Women-s-Hacci-Crewneck-Pullover/824285351
