,item_name,url
0,Como Blu Women's Athleisure Sweatpants,https://www.walmart.com/ip/Como-Blu-Women-s-Athleisure-Sweatpants/878196763
1,"Feathers Women's Active Fleece Leggings, 2-Pack",https://www.walmart.com/ip/Feathers-Women-s-Active-Fleece-Leggings-2-Pack/855297604
2,Comfort Colors Women's Athleisure Short Sleeve Tee,https://www.walmart.com/ip/Comfort-Colors-Women-s-Athleisure-Short-Sleeve-Tee/925828356
3,Athletic Works Women's Athleisure Knit Wrap Cardigan,https://www.walmart.com/ip/Athletic-Works-Women-s-Athleisure-Knit-Wrap-Cardigan/143386167
4,Champion Women's Powerblend Fleece Joggers,https://www.walmart.com/ip/Champion-Women-s-Powerblend-Fleece-Joggers/741347781
5,Champion Women's Sport Ultra High Rise Legging Tight,https://www.walmart.com/ip/Champion-Women-s-Sport-Ultra-High-Rise-Legging-Tight/862716282
6,Athletic Works Women's Athleisure 5-Stripe Crewneck Sweatshirt - Yellow/Orange/Red/Blue/Navy,https://www.walmart.com/ip/Athletic-Works-Women-s-Athleisure-5-Stripe-Crewneck-Sweatshirt-Yellow-Orange-Red-Blue-Navy/895849811
7,Athletic Works Women's Athleisure 5-Stripe Sweatpants - Yellow/Orange/Red/Blue/Navy,https://www.walmart.com/ip/Athletic-Works-Women-s-Athleisure-5-Stripe-Sweatpants-Yellow-Orange-Red-Blue-Navy/554092968
8,Champion Women's Campus Fleece Cropped Crew Sweatshirt,https://www.walmart.com/ip/Champion-Women-s-Campus-Fleece-Cropped-Crew-Sweatshirt/941912613
9,Champion Women's Powerblend Graphic Jogger,https://www.walmart.com/ip/Champion-Women-s-Powerblend-Graphic-Jogger/466832058
10,Champion Women's Muscle Tank,https://www.walmart.com/ip/Champion-Women-s-Muscle-Tank/307972912
11,Avia Women's Core Running Shorts,https://www.walmart.com/ip/Avia-Women-s-Core-Running-Shorts/754906766
12,Athletic Works Women's Active Dri More Core Shelf-Bra Racerback Tank,https://www.walmart.com/ip/Athletic-Works-Women-s-Active-Dri-More-Core-Shelf-Bra-Racerback-Tank/532072492
13,Avalanche Women's Crewneck Breathable Wool Blend Short Sleeve Base Layer Top,https://www.walmart.com/ip/Avalanche-Women-s-Crewneck-Breathable-Wool-Blend-Short-Sleeve-Base-Layer-Top/901270090
14,Women's Active High Waist Full Length Leggings with Pockets and Long Sleeve Active Top Set,https://www.walmart.com/ip/S2-Sportswear-Women-s-Active-High-Waist-Full-Length-Leggings-with-Pockets-and-Long-Sleeve-Active-Top-2-Piece-Set/396227986
