,item_name,price,overall_rating,num_rating,rev_title,review_text,section,target
0,Wrangler Men's Unlined Shirt Jacket,12.0,4.0,7.0,texas winter ready,i bought this last year and am going to buy another on friday these are perfect for texas winters,men's clothing,0
1,Wrangler Men's Relaxed Fit Jeans,12.0,4.5,5840.0,wrangler is the best my favorite jeans extremely satisfying you can t go wrong with wranglers same old wrangler jeans great jeans i guess you can say it s one of a kind incorrectly labeled length mis sized they re getting cheap and don t last anymore great jeans would buy again defective stitching jeans tear easily in the seat one pair of the total three pairs ripped wrangler jeans sized right not ideal but usable pants worth buying again great jeans welcome back wrangler tag discrepancy on otherwise good jeans beware,i like wrangler the pants is exactly for my body also is a good quality recommend to all these truly are my favorite jeans i prefer the relax fit because they are more comfortable and loose in just the right areas i have purchased these a year ago and have held up really well the price is a bargain when you compare them to other jean manufacturers i highly recommend purchasing these jeans its absolutely wonderful and value for money size is perfect for small parties below 10 a satisfying experience i am a sturdy woman with a sophisticated build women s pants are usually too small in the waist and too wide in the hip for the length i need i ve tried plus sizes regular and tallls but found that buying men s pants are the way to go for women that don t have the fashion designers conception of a woman s shape height 5 8 weight 200 lbs i m wearing a 38x32 in washed sand after reading other reviews i was concerned that these may not be the jeans my husband was used to buying at walmart we had to purchase them online because our local walmart didn t have his size when they arrived he tried them on and said they were exactly the same as the ones he was used to purchasing the color was correct the pockets were the normal depth he was quite pleased with them excellent condition and thickness and color better than jeans three times the price great selection of waist sizes as well for the odd numbers like my size 35 waist 34 length i love how non restrictive these jeans are and the extra mini pocket behind the leg pockets is excellent my work id badge fits in there perfectly no more worrying that the feeble alligator clip will fail while i m walking around and i have to comb the entire office to find it again nnote the jean material is thinner than your average jeans not putting this in the cons because it s only a nuisance in the winter have to wear some thermal leggings under it when it s freezing out i m certain in the summer this is going to be most appreciated n ncons nthey only come in one color i mean come on at least offer it in black as well but it d be excellent if there were plenty of options perhaps navy blue and stonewashed so it doesn t look like i m wearing the same pair of jeans all the time ordered two pair with a 29 inseam and received an 30 inseam labeled 29 i didn t try them on my mistake and didn t notice it until after i washed them when i called i was told once i washed them i owned them i purchased 2 pair of the exact same size one pair fits perfect but the 2nd is over 3 inches too long in the legs it shows the correct size on the outside but the label inside shows 40x32 not 38x29 they must be using a thinner denim in these as they are barely three months old and splitting at sewn seam areas in the crotch and rear pockets everyday use motorcycle riding working there is a defect in the stitching process that caused these jeans to tear at the upper left corner of the right rear pocket all 3 pairs i ordered have now torn in this location i ve purchased the same size relaxed fit wrangler jeans at the local walmart store for over 10 years this is the first time i tried mail ordering them through walmart the pairs i received were probably manufactured by a different supplier and are clearly defective i will be seeking a refund at the local walmart store within 3 months the jeans ripped beside the left back pocket i tried to fix it so my husband could continue to wear them he only wears his new jeans when he goes to the grocery or things like that then he wore them again the other pocket did the samething i purchased 2 other pairs at the same time only a different shade and they are fine i m not happy about the pair that ripped i ordered these jeans online because i cannot find that particular size in any store whether it s walmart kohl s target etc it would be very nice if the stores would carry off size products so that customers can try them on to make sure that the fit is proper prior to purchasing or ordering in this case i am just grateful that walmart does stock differing sizes online so that i don t have to alter them after purchase thank you good price this latest purchase of jeans arrived almost as promised this is a reorder for me as i am very hard on jeans and tear them up easily this batch seemed thinner then the others i ve received and there is a noticeable difference in waist size between the three pair i received i purchased a couple of pairs a couple of years ago the jeans fit well and have worn well they faded as all jeans do but still had a nice color ni bought 2 more pair because i like how they fit for me to many pants are short from waist to crotch these have a nice size zipper also my son is very particular about the fit of his jeans from the time he was about 8 9 years old we tried different brands he always preferred wranglers then came the timr he grew out of children s sizes we tried a lot more brands and styles these wrangler jeans are the only ones he ll wear i m so glad they come in a wide variety of sizes and a few different colors these jeans by wrangler are great they are the relaxed fit jeans they fit great and feel great my husband loves them they are his favorite jeans we purchased all the different colors in the same fit i highly recommend these jeans and will definitely buy more my son and i go through a lot of jeans some for work some for play the brand that we normally have purchased for many years appears to be disappearing due to the changing retail marketplace i recently purchased a pair of these for myself and have been very happy with them quality is excellent fit and finish great i hadn t had a pair of wranglers since my youth many years ago and up to recently did not even consider them i refuse to pay 50 to 100 dollars just for a pair of jeans and i don t like any stretch fabric i want 100 cotton and i don t want them pre distressed i will distress them myself through wear and work i think my son and i have found our new go to jeans that said this was a purchase of 5 pair and will be a christmas present for my son but don t tell him non top of that the delivery time from walmart was excellent and beat all expectations the wrangler jeans were exactly the color and quality i ve come to expect from wrangler however they were mismarked i ordered size 34 x 30 relaxed fit but when they arrived they had the 34 x 30 relaxed fit sticky tag on the leg but the inside cloth tag was 34 x 30 regular fit i assume the mistake was made by the manufacturer and not made by the packaging handling person the package did not include a return statement but i will try to contact someone to hopefully exchange the jeans for the correct size,men's clothing,0
2,Wrangler Big Men's Relaxed Fit Jean,15.0,4.3,3257.0,jeans that fit just right great jeans would buy again fantastic experience with online shopping slightly poor material construction but ok different cut now don t fit that sucks not the same relaxed fit jeans not too happy cheap material less inseam not rugged wranglers wrangler has screwed up their sizes do not buy these they fit like hip huggers nice fit for me need a great pair of jeans extremely happy with my first experience with this these jeans are made of sturdy black denim good looking pair of jeans great jeans but garbage relaxed fit isn t the same not the same as old relaxed fit just right,if you like big men s style wearing jeans these these will do you just right i would recommend getting one size bigger these jeans are very good and comfy when worn right with right size everyday use motorcycle riding working they arrived sooner than expected and the fit was just right the sizing and description were perfect not confusing or so brief that you weren t sure what they were talking about all in all it was great and i will be buying these again online for my husband great experience i like these jeans but they do have a tendency to fray along the cuffs i roll the cuffs one time and the seam splits at the same point that never used to happen when i bought levi s jeans i m so disapointed i bought these same jeans for many many years they always used to fit perfect for me not anymore total different cut i m just going to try finding another pair of jeans wranglers suck now to me they were true to fit for many years now there cut way too small darn these were always my go to jeans nfor some reason wrangler changed their style and they no longer fit like a relaxed fit nthey now fit like regular fit nhad to return and reorder a larger size and their still on the tighter side nvery disappointed other reviews say the same nlooks like i will have to find another brand too bad wrangler used to be my go to jean sat down in them on first day wearing them and back pocket tore completely along the side these jeans are no longer wrangler i ve been buying wrangler for years and the 5 jeans i ordered fit just like lee jeans which of course vf jeanswear owns also tighter crotch area the dinim feels different more flex less real denim their relaxed fit isn t relaxed at all do your research old wrangler denim lovers the wrangler 5 star from last year and these are worlds apart in quality i didn t want lee jeans i wanted hard rugged lose fitting relaxed fit wrangler one star only because i have to select at least 1 size is totally wrong i ve been wearing these jeans for the last 10 15 years and never had a problem wheather purchasing them online or in the store they have always fit true to size with plenty of room and comfortable i currently have 3 pair of size 48x30 that fit ok just a little snug in the waist so i ordered 2 pair of size 50x30 and couldn t even button them needless to say they ve been immediatly returned why in the world companies feel they have to change things that don t need changing is beyond me i have been wearing the relaxed fit wrangler jeans for a number of years and have always been satisfied to the point where i didn t even try them on before removing the tags but these fit like hip hugger jeans which are not comfortable at all and i wish i hadn t taken the tags off of or i would have returned them asap nnot sure if wrangler is having them made at a different factory or what but the fit is terrible i have a hard time finding clothing that fit right this was it the jeans were excellent value they appear to be heavy duty which will be nice for long wear and durability for rough use the color is exceptional it is recommended by the manufacturer that the jeans be laundered prior to wear which is due to the dye which may color items lighter in color n ni recommend them whole heartedly you will not be unhappy with your purchase a i was extremely impressed with my first purchase delivery the price was good lower than anywhere else and the delivery was fantastic i received my order in only 2 days right in front of my front door i will definitely be using this method from now on for groceries and everything else i need i highly recommend this deep dark black color perfect fit as sized they are relaxed so the leg are comfortably loose to maintain the beautiful color i recommend that you wash in cold water any garment will fade if it is routinely washed in hot water they appear to made good and the quality looks good also a christmas gift for one of my brothers so not sure about the fit but i m sure they will be fine this is the only jean he likes wrangler bought for my husband s birthday 46 waist but it was too small waist could not button i will probably have to purchase one of the comfort flex waist ones instead straight trash bought 3 pair the legs are super tight and waist is super loose 2 pair had the zipper break the first zipper broke in day 1 the second a week later would highly not recommend these are the only jeans i ve worn for 15 years but they don t fit the same now ordered twice recently thinking the first order was a bad batch but like others have experienced the fit is very different than it used to be even though the model number is the same this new version has a shorter rise pockets that are difficult to get your hand into probably related to how tight they feel across the hips now not sure what model brand to buy now but this is no longer my go to jean disappointed in that my old relaxed fit jeans fit perfect and these had no extra room in butt or waste now i know i could lose some weight but the old jeans fit better these are tight on legs and waste these are perfect for me i have purchased other brands of relaxed fit jeans and they were too baggy on the thighs and rear these fit just right and the material is heavy duty i will buy more,men's clothing,0
3,Wrangler Men's 5 Star Regular Fit Jean with Flex,12.0,4.5,259.0,committed buyer more comfortable than sweatpants awesome jeans these jeans stand up to whatever my husband throws at them my go to pants great stretch and easy to move around in my hubby s favorite jeans the are the best fitting pants i ve had in years wranglers are the best cotton spandex great great jean fit well good casual pants wrangler review truthful nice slacks good buy wrangler 5 star jeans,my husband loves these jeans and goes through quite a lot throughout the year due to his job he wears only wrangler everyone must love these jeans because they are out of stock a lot though when they are are available i try to order a few at a time this is my second wrangler mens 5 star regular jean with flex purchase both were bought as office work jeans for my husband he has always preferred wrangler jeans but absolutely loves these jeans he tells me if he was not wearing a belt he would never know he was wearing pants yes they are that comfortable they seem fine so far but time will tell i don t know that i am a huge fan of the stretchy version but they sure are comfortable for the moment i am kind of hard on my jeans if this pair is still with me in 6 months i ll be a very happy camper i will not buy any jeans that arent 5 star denim flex for comfort these are incredible my only wish is that they came in 28 length as i have to bring them to the tailors at 10 a pop for shortening that jacks the total price up to about 32 still not bad considering the laughable prices levis wants for their jeans my husband wears these jeans to work in every day and they stand up to whatever he s doing that day he works in the construction maintenance industry he s pretty rough on clothes but it usually takes him a full year to wear these jeans out vs 4 6 months with other brands he won t buy any other brand anymore he likes the stretch in the fabric and says they re much more comfortable to work in than other jeans they wash up well so that makes me happy too i tried other brands and they now hang in the closet never to be worn again these jeans look good and perform well on the farm where clothing abuse is an everyday thing the fit is great they have multiple mixes of waist and inseam they look great these jeans are exactly what my husband needed the denim is nice and stretchy so it stretches with him when he moves they do fit a little large in length so we go down one size in length and they fit perfectly these are the only jeans he will wear to work in my husband loves these jeans they look great fit well and are very durable the small amount of stretch in the fabric means they are very comfortable as well these jeans are a perfect fit i miss the comfort that i had with a different shape in my youth i don t want to take them off just like my favorite jeans in the days of my youth i have tried every brand of jean and not one fits like my original wrangler jeans i ordered the flex and love them more i wear them for every occasion except formal wear the cotton spandex combination has caused a revolution no more droopy drawers of the 100 cotton days all my jeans are wrangler and cotton spandex the jeans feel the same at the end of the week as at the beginning excellent thanks great price for durable and stylish jeans like it it s jean but not the typical blue color so it is more like a casual pants love it as advertised good fit sized right we have always bought these jeans they are great jeans for the price fast easy ordering and delivery good quality great quality and true fit the fir is good they last a good while wrangler 5 star jean s are the best fitting i ve ever wore excellent jeans great jeans especially for the price,men's clothing,0
4,Wrangler Men's and Big Men's 5 Star Relaxed Fit Jean with Flex,15.0,4.6,1490.0,saved money and faster delivery that amazon very comfortable jeans great fit not too baggy not too skinny very durable pockets are ripped on everyone about eight months wrangler men s relaxed fit jeans tight in thigh lighter color in front not solid ripped within the first week poor quality mis manufactured on purpose stupid bad quality control wrangler jeans still the best not what i wanted not a fan solid replaced all my old jeans with these these are ok good fit practical and comfortable at a great price wrangler doesn t miss how they fit,fit well great price same jeans i was buying on amazon and a lot less money these are very comfortable jeans and they don t cost a lot the material is not heavy and stiff like most denim and it s easier for a fat old guy like me to move around as a trade off the material is not as durable as most jeans it snags and tears easily i am happy to accept that trade off however given the comfort and price my son is very hard on his jeans he s an athletic guy with thick muscular legs so he doesn t like to wear skinny jeans or anything slim fit these jeans are just right comfortable with room in the leg and seat for a guy with legs and a seat the flex provides him with an even better fit i got him these during the holidays last year and they re still holding up wrangler jeans are the best lighter weight and more comfortable than other brands bought 2 pair wear every week nov to june color has not faded no rips or tears seams and stitches still holding these are usually a great product four stars just because i m an odd size and not available 35 29 or 28 i settled for 35 30 other than that the jeans seem like they are very durable and won t rip out near the pockets like other brands i switched to these because regular brand no longer available little bit baggy in crotch and butt area but overall very comfortable comfy durable jeans i would recommend i ordered my husband s exact size what he wears for every other jean he doesn t have heavy legs but he complained that these were slightly too tight in the thigh also the photo doesn t clearly show that these are bleached somewhat lighter in the thigh area they re not a solid color my husband has been buying these for years he works construction and found that these lasted longest for the price until the last year that is of the last 3 pairs we have bought all of them have ripped at the back pocket seam and in the crotch near the zipper within a week one of the pairs ripped the first day of use i m sorely disappointed in theses wranglers and will not be purchasing them anymore with summer only wore three times loop is coming loose already 13 days after return window fall or winter the inferior quality would have shown early 2 belt loops that are supposed to be above the pockets in the back are above the pockets in the front ridiculous to have them there 2nd time i ve seen them this way nobody needs 4 belt loops in the front 2 on each side of the button zipper it appears somebody changed the design without thinking i will not order these again bye bye wrangler the front pockets are all tangled up full of blue lent and one had a hole in it in one of the rear pockets there was rough round stone of some sort legs were wrinkled must have come from the factory that way bad quality control this is the first time i have a problem with these jeans the only thing i didn t like is there are too many belt loops close to the zipper there are two belt loops close together on either side of the zipper there should be no need to have two belt loops on either side one should be sufficient other than that the jeans are exactly as advertised fit is good and look is good i was looking for the wrangler jean s with the black flexibility waist band nthese didn t have flexible waist band so i returned both pairs couldn t get the regular relaxed fit so bought these don t care for them lighter weight than the standard relaxed fit they won t last long and i won t buy them again so much for new and improved not great quality for the price the flex is nice when doing yard work or home repairs these are my new go to i liked them so much i tossed my random assortment of old pairs and reloaded with various colors of these we usually buy the relaxed fit but they were out of his size so we bought these they were ok but we like the others better nothing wrong with these they just dont fit like the others the first pair of jeans my husband has been able to keep up he needs a larger waist but the rest of his pants are normal size the flex fit helps him the jeans are sturdy and look nice bought for my son and hes hard to fit in jeans as he doesnt like them tight he likes practical where he can move and work in them these fit the bill and look nice as well its a win here love these jeans they hold up well working outdoors relaxed fit true to size 6ft 4 size 36x34 loose need a belt to hold up just how i like them allows movement i would buy again apparently some are made in us and some in mexico the ones from mexico fit differently which is a plus hope they continue to make them there they have a little more room in them,men's clothing,0
5,Champion Men's Powerblend Fleece Pullover Hoodie,22.0,4.6,1247.0,perfect comfy time 2020 tie dye trend online order huge fan true description little thin good basics too big bad quality hoodie size great fits really small still blue any occasion soft and cozy sweater super soft,they were exactly what i was searching for nice thick material and definitely worth the price ive seen the exact same ones in other stores for 50 60 i did the next day shipping because i needed them for a camping trip two days after i ordered and still had to iron on the vinyl it delivered right on time which i was nervous about i actually did not expect this hoodie to be this comfortable and warm i bought the purple hoodie and i thought it was going to be a light purple but im still happy with this color i got these sweatshirts in white for my boyfriend and i to tie dye using two shades of blue ritt dye the fabric held the color beautifully and out horsies turned out so dreamy 100 recommend super soft inside and a medium weight great quality and despite the pandemic it came on time this review was collected as part of a promotion i am a huge fan of the powerblend hoodie i have several and i love the softness comfort and quality of the materials and workmanship i m a female with an athletic tall build so the men s small fits me better than the women s version it is my favorite hoodie you ve spoiled me i love the gold color its bold and noticeable the quality and size are true to description it s a little thin it s not as bulky as some of the other sweatshirts i got this for my boyfriend and hopefully he likes it very comfortable launders well just a good basic sweatshirt hoodie i ordered 4 the sizing was a little inconsistent on one of them but still wearable it s a bit too bigger than you think that hoodie makes me look like idiot will never buy this brand again the hoodie is great quality and well made it came pretty small compared to other hoodies so it is pretty tight the material is very warm and comfortable i m pretty small so i had to go for an xs the xs fit me well if you like your sweaters not sticked to your body this might be the perfect one for you i might buy this same style but a different color overall great sweater to buy great material and very good for every situation sports casual this review was collected as part of a promotion ok first i want to say i like the look of this pullover it does however fir small i ordered a small and it was too tight i exchanged for a medium and it fit the same come to find out they were both a medium so when i exchanged it i thought i was exchanging the small for the medium so bottom line is going by the size chart i was supposed to need the small but even a medium was too small so if you purchase this you may want to get two sizes bigger to get the fit you need great hoodie that is very comfortable and very soft on the inside and the hood strings on the end had nice metal aglets learned that one from phineas and ferb on the end instead of the plastic heat shrink that always comes off or apart after a bunch of washes doesn t come in navy blue and is cut a bit smaller than older champions but still a good sweatshirt great normal comfortable hoodie for everyday use work exercise just a hoodie to keep on hand amazing quality this hoodie has really nice quality and fits me very well except for the sleeve cuffs i will have to get them sewn to better fit my wrists this product does run large but i went with my usual medium and it s fine fit very well i got one for my boyfriend and i and he loved it i ordered a medium and im a little over 6 foot so i was worried how it would fit my arms but this hoodie is perfect i love that it tapers through the arm to the wrist like how joggers get slimmer towards the ankles i bought this hoodie to wear at work since its starting to get colder but i might order another one i didnt think i could love a hoodie so much,men's clothing,1
6,Fruit of the Loom Men's Core Waffle Thermal Top,5.0,3.3,9.0,love them love them definitely a classic i do not recommend this to keep warm,these are very cozy body pair for me and my husband they are a perfect fit warm comfortable dependable not happy with the quality it is so thin how is this a thermal shirt but so thin it is almost see through i intended to buy this for my husband that works in a warehouse that is refrigerated this will not work,men's clothing,1
7,Champion Men's Powerblend Graphic Crew,22.5,4.7,377.0,great sweater and price a good purchase absolutely love it perfect exactly what i wanted cute with vintage flare satisfied great sweater online image versus in person image just ok nice comfortable and updated wonderful sweatshirt comfy nice sweater my sweat shirt review not the same color,i bought 2 of these for 19 each were another store in the mall was selling them for 45 each i was nervous as the price was a huge difference and i was not disappointed its the same exact sweater for a way better cost i bought the navy and grey one as i have 2 sons they both loved it definitely would recommend good quality true to size shrinks slightly after wash but overall happy with the purchase would definitely buy again in other colors purchased an xxl for my husband its long enough and fits loose enough he really likes the sweatshirt super comfy fits really well absolutely love it just what i was looking for great quality would recommend price is only half compared to other stores trying to sell the same jacket cute and nice for the price the lettering is bigger than expected and has somewhat of a vintage flare to it not extremely soft but is definitely nice to wear i bought three so me my fiance and daughter could have matching sweatshirts they are true to size arrived fast and good quality color is vibrant and the inside is so soft and warm bought this for my boyfriend and it definitely runs a little small ordered a medium but returned for a large he s about 6 2 lean build and said it was the comfiest sweatshirt not too thick and not too thin size up great quality as always my only problem was that the shade of red the actual shirt was is different than how it looked on the website so the shirt really doesn t make the hat and sneakers that i got it to go with it is a nice hoodie but it had a hole in it when i got it it definitely feels pretty cheap too for the price i can t complain a ton tho it is comfy and soft i got a pretty big size to be over size and it is not massive i would size up a few it was a nice sweatshirt but there was a stitching problem and when i pulled the loose thread it took of some of the print in champion so there s a line through the c other than that buy it jusy don t pull the strings this crew neck fits well the material inside is soft and comfortable remember the old champion sweatshirts the material was definitely heavier this is not at all an overall very good feel great fit fits just right i am 6 3 and the arm length is absolutely great best sweater ever so comfy and great for the cold weather i love wearing it on my lazy days off good quality well worth the money i bought this for myself love it super comfy and great price i haven t worn it yet but i have similar sweatshirts of the same brand very good quality will buy again not this color at all it s more of a nautical blue nor this turquoise blue,men's clothing,0
8,Free Assembly Men's Two-Pocket Flannel Shirt,18.0,4.9,22.0,washes well soft good value super surprised and delighted strongly recommend incredible find great shirt perfect shirt very nice heavy flannel shirt free assembly rocks love the shirt,my husband also likes this shirt i washed and put in dryer before wearing came out almost free of wrinkles no shrinking that he noticed nice soft plaid need more colors the material is super soft and comfortable and the shirt has a good weight to it if i compared it to paper this is the card stock quality got for my husband and he loves it and wears it all the time now great fit soft well made he loves the blue these shirts are a very good quality fits great happily surprised by the high quality of the fabric and make of this shirt soft perfect fit and nice weight perfect for fall and winter super comfy high quality looks great will be ordering more of these shirts great quality fit and design nice quality thick and warm what i thought was a light weight flannel shirt for florida weather i received a thick and heavy flannel jacket a better description is necessary ordered a couple of free assembly flannels and am really pleased with what i received for the price point the design sense is spot on and the quality is excellent jumping online to order the cropped bootcut jeans my husband loves this shirt nquality made ntrue to size ndoes it come in more colors,men's clothing,1
9,Lee Men’s Big & Tall Regular Fit Jeans,24.9,4.4,913.0,great jeans from 501s to lee jeans best conversion ever the perfect jeans using the perfect online source i will purchase more in the future great for casual wear or tough jobs fit is not consistent size error belt straps why do the waist sizes vary cut and sizing has changed baggy jeans disappointed lee regular fit straight leg jeans i hope i m not stuck buying these in the future not the same jean durable nice jeans but runs small on wider m body great jean s and price can t beat this deal happy wife my favorite jeans,i have bought lee jeans for several years the two pair that i purchased most recently had noticeably crooked seams i called customer service which emailed me a shipping label the replacement jeans arrived in about a week and they were perfect the company really stands behind its products which is a definite plus i unfortunately wasn t around during the time when all denim was a heavyweight fabric nowadays it seems like most denim retailers sell paper thin denim and i am not a fan so for a while i only work 501s until i actually decided to examine a pair of lee regular straights and if you re looking for a jean that is built tough with a heavyweight denim these are it i love that they tell you how many oz you re getting in each pair i love the lazy s back pocket details and just the overall construction of these jeans lee jeans fit me perfectly and i needed a few spare pair after going through about 20 pairs at the store looking for the right shade and size i through up my arms and just decided to go online straight from lee com these jeans came in perfect condition and the whole process was easy and quick thanks lee i have been wearing lee jeans for many years i was never able to find size 35 waist in the stores here so always had to go with 36 now i have found 35 on your website at lee com and they fit well however it would be nice to be able to get a 29 leg length which you do not make 35 29 i liked the material thickness and cool wearing in arizona they fit well and conform to the waist rear and legs great lee has a tough zipper and should last well a top quality jean for the money nthank you walmart for offering such a great jean for casual wear or tough jobs i don t know if this is a quality control issue or not but i believe the fit on these jeans are not consistent my size is 36x29 and i bought three lee jeans in different colors same size different fits one was perfect but the other two ended up feeling tight i kept the hoping they would loosen up a bit but it s something to consider before purchasing i purchased these jeans for my husband from the product id number on some old ones he had and loved they did not disappoint he loved the fit first time wearing them one of my loops that hold a belt in place was torn out they snagged on a doorknob couldn t believe it i had already washed them so i didn t try to return them as i teenager or young adult lee jeans lasted forever now fabric is too light i buy the same size 32 waist jeans every time but the last ones i bought i couldn t button i just bought 33 s just recently and they re way too loose what gives did someone change how long an inch is i ve been wearing this style of jeans for a couple years fit me pretty well on my last order i noticed that they have changed quite a bit the legs are wider and longer and baggier in the same sizei have been wearing i ve been buying the same jeans for ever the last 3 pair i purchased fit in the waist and length but the rear and the legs look like they were sized for much larger jeans describing them as baggy is an under statement i have found another brand that fit and i will not be buying these again lee s quality control is not what it used to be i would not recommend these to anyone who is average sized if you are on the larger size husky then maybe these are for you i ordered 3 pairs of the same style and same size jean extremely disappointed when each pair was cut differently in both length and leg width i had to take them to a local tailor to shorten inseam and taper the legs to get a uniform fit when you order the same size and style you would think they would all fit the same sadly that was not the case have no idea where you have outsourced the sewing of this product but they are lacking in quality control regarding size my husband has worn these jeans for years but like everything else in our lives the corporation has decided to change the fit these jeans are advertised as fitting at the waist but this is no longer true for those that have long waist these jeans no longer fit like the previous jeans fit very disappointed in the new fit and had to return them i have worn lee regular fit jeans for decades and had loved them but the latest ones i recently purchased disappoint me i ordered them on line and immediately noticed they were way too loose in the waste i returned them and ordered a few pairs in different sizes they re okay but stretch out a bit while wearing them i miss the previous way they were made without so much stretch since i received them i ve been searching everywhere for different brand of jeans that look similar but aren t stretchy like women s jeans also i like them in light blue and the only place i can find them in that color is on line i have multiple pairs of lee jeans regular fit that i have purchased in the past these lee jeans regular fit are no where near the same quality the fabric is much cheaper lighter weight cotton the length is way off the overall fit is not the same looks like lee sacrificed quality to increased profit margin shame i love these durable jean in fabric length not too bell bottoms but the only down fall they run a bit smaller on waistline you must get a larger size if your boy has wider hips larger buttock and bit taller these are not stretchable i really like this particular style in the wylie color and keep buying them they are softer than the other normal blue jeans i don t know why can t beat the price nor the quality wash the black ones in a separate wash by itself or you will have dark grey socks and underpants hubby loves the fit and durability waist 58 has a high enough rise to look presentable for all occasions i bought two pairs of blue jeans for my husband because he loves lee jeans so much they fit him perfectly and they are the best in terms of durability,men's clothing,0
